feature,importance
_target_numeric,0.43743692740783646
MonthlyIncome,0.02340437810513707
TrainingHoursLastYear,0.02310397549848527
EmployeeID,0.02282483373953655
Age,0.021340291352422238
EngagementScore,0.018663402593439255
CommuteDistance,0.017904186793261202
ProjectsHandled,0.01660406005877264
AbsenteeismDays,0.016316640448964317
BonusPercentage,0.015572917173139708
LeavesTaken,0.015002631304399446
ManagerID,0.013890976898523932
PerformanceRating,0.01270001716802872
YearsInCurrentRole,0.011934325647143671
YearsAtCompany,0.010842430734579038
WorkLifeBalance,0.009595332159337928
JobSatisfaction,0.008948899898363904
Certifications,0.00873897779737206
StockOptionLevel,0.007772741213447917
PromotionLast3Years,0.007681759392519583
ManagerSatisfaction,0.007658829960988231
MaritalStatus_married,0.006252851538545518
JobRole_r&d scientist,0.004503599779360588
TeamSize_ten,0.004484395701545699
MaritalStatus_marrid,0.004396212877231429
RemoteWorkFrequency_always,0.003992412337786072
ExitReason_work-life balance,0.003951561476488328
State_uttar pradesh,0.003881598837366691
HealthInsurance_no,0.0038222024578989577
RehireEligibility_yes,0.0037730070244245276
